method,blindw_wh_10000,blindw_wr_10000,blindw_rh_10000,blindw_pred_10000,ctwitter_10000,tpcc_10000
warshall,600 s,600 s,600 s,600 s,600 s,600 s
italino,0.3628575801849365 s,0.3516707420349121 s,0.27419114112854004 s,4.245304822921753 s,0.6630916595458984 s,4.0652995109558105 s
italino+,0.3177528381347656 s,0.32083725929260254 s,0.2714715003967285 s,3.552901029586792 s,0.22191071510314941 s,4.049302816390991 s
