method,blindw_wh_10000,blindw_wr_10000,blindw_rh_10000,blindw_pred_10000,ctwitter_10000,tpcc_10000
purdom+,20967 us,37995 us,42593 us,245749 us,31103 us,437139 us
purdom,378342 us,479980 us,510611 us,834536 us,203894 us,1089168 us
warshall,-,-,-,-,-,-
italino+,103591 us,140511 us,147157 us,291516 us,81653 us,468560 us
italino,834324 us,1409801 us,875145 us,836864 us,4673974 us,4045565 us
