solver,blindw_wh_10000,blindw_wr_10000,blindw_rh_10000,ctwitter_10000
vboxsat,270 us,160 us,93 us,702 us
monosat,191145 us,367242 us,392238 us,265528 us
minisat,- us,- us,- us,- us
kissat,- us,- us,- us,- us
cadical,- us,- us,- us,- us
